,preds,true,detector_name
0,"[27747, 53693, 75505]","(49794, 49794)",ABCD
1,"[39395, 57867, 66260, 81096]","(64903, 64903)",ABCD
2,"[32272, 63629]","(60069, 60069)",ABCD
3,"[58019, 62460]","(59659, 59659)",ABCD
4,"[37392, 51139, 57905, 65693]","(57658, 57658)",ABCD
5,"[28593, 36156, 57840]","(55497, 55497)",ABCD
6,"[34621, 47651]","(45720, 45720)",ABCD
7,"[32499, 50809]","(51292, 51292)",ABCD
8,"[52106, 66314, 78948]","(62787, 62787)",ABCD
9,"[36786, 59498, 76368]","(44433, 44433)",ABCD
10,"[44701, 50332, 65396]","(64386, 64386)",ABCD
11,[48306],"(43968, 43968)",ABCD
12,"[41678, 56356, 58243, 66002, 72879, 77050]","(55266, 55266)",ABCD
13,"[33624, 75089]","(53601, 53601)",ABCD
14,"[36431, 55262, 71440]","(53309, 53309)",ABCD
15,"[35184, 63032, 72303]","(61293, 61293)",ABCD
16,"[38002, 49738, 66483, 75484]","(45678, 45678)",ABCD
17,"[39568, 50872, 51667, 62889]","(51458, 51458)",ABCD
18,"[27585, 57864, 61809, 65244, 80257]","(61486, 61486)",ABCD
19,"[25537, 70349]","(54456, 54456)",ABCD
20,"[36112, 43732, 74279]","(41721, 41721)",ABCD
21,"[39782, 61597, 62216, 69644]","(61977, 61977)",ABCD
22,"[39073, 54003, 62120, 66169]","(61217, 61217)",ABCD
23,"[38614, 55267, 75967]","(52357, 52357)",ABCD
24,"[41255, 51615, 57728, 68472]","(56647, 56647)",ABCD
25,"[27212, 43590, 53330, 66015, 69593, 73029]","(65311, 65311)",ABCD
26,"[35066, 51663]","(53044, 53044)",ABCD
27,"[35333, 53175, 59211, 65066, 65963]","(64839, 64839)",ABCD
28,"[36426, 70835]","(54260, 54260)",ABCD
29,"[38210, 53358, 62177, 80280]","(61941, 61941)",ABCD
30,"[35438, 58241, 76531]","(41601, 41601)",ABCD
31,"[48621, 50338, 55357, 55807, 58657, 81613]","(54960, 54960)",ABCD
32,"[39560, 54124, 57363, 65785, 73367]","(56829, 56829)",ABCD
33,"[38154, 54360, 64040, 68276]","(62058, 62058)",ABCD
34,"[33585, 49974, 53179, 59074, 68511]","(52598, 52598)",ABCD
35,"[52305, 55564, 69079]","(54069, 54069)",ABCD
36,"[37114, 49094]","(45633, 45633)",ABCD
37,"[39308, 50338, 55458]","(48787, 48787)",ABCD
38,"[39908, 56718]","(50243, 50243)",ABCD
39,"[38149, 55015, 58904, 61847, 81734]","(58443, 58443)",ABCD
40,[52069],"(52716, 52716)",ABCD
41,"[37678, 49967, 64086, 74149, 77631]","(48147, 48147)",ABCD
42,"[34234, 45120, 61716, 71524]","(43870, 43870)",ABCD
43,"[22800, 32022, 50720, 63593]","(45855, 45855)",ABCD
44,"[32524, 54583, 71102, 78462]","(51930, 51930)",ABCD
45,"[56992, 64613, 77892]","(62479, 62479)",ABCD
46,"[31363, 48822, 52669]","(51710, 51710)",ABCD
47,"[35209, 53508, 82174]","(51502, 51502)",ABCD
48,"[35447, 59696, 61993, 67626]","(61731, 61731)",ABCD
49,"[38990, 44644, 47020, 52248, 69199]","(42251, 42251)",ABCD
50,[50035],"(49794, 49794)",ABCDx
