,preds,true,detector_name
0,"[40213, 70940, 74377, 83675]","(58795, 58795)",ABCD
1,"[32260, 67180, 74007, 78181]","(72076, 72076)",ABCD
2,"[43595, 55842, 65679]","(59566, 59566)",ABCD
3,"[51271, 69422, 71284, 72695]","(70511, 70511)",ABCD
4,"[43059, 49369, 72690]","(73330, 73330)",ABCD
5,"[38483, 62603, 83563]","(67559, 67559)",ABCD
6,"[53754, 59645, 66864]","(63440, 63440)",ABCD
7,"[34727, 46590, 51351, 76882]","(51580, 51580)",ABCD
8,"[27347, 43641, 73391]","(51571, 51571)",ABCD
9,"[47534, 75508, 77532, 79682]","(77032, 77032)",ABCD
10,"[35814, 73333]","(63568, 63568)",ABCD
11,[38688],"(62248, 62248)",ABCD
12,"[48113, 61608]","(52171, 52171)",ABCD
13,"[46010, 70752, 78688, 88719]","(76787, 76787)",ABCD
14,"[46644, 71509, 74962]","(79417, 79417)",ABCD
15,"[40317, 45532, 46578, 61222]","(68917, 68917)",ABCD
16,"[51007, 72791]","(71650, 71650)",ABCD
17,"[40412, 47534, 60686, 66406, 72270, 74552, 94561]","(76549, 76549)",ABCD
18,"[50073, 61525, 94799]","(60751, 60751)",ABCD
19,"[50181, 59810, 84990, 98156]","(62170, 62170)",ABCD
20,"[82524, 94228]","(77576, 77576)",ABCD
21,"[28893, 32372, 71289]","(62309, 62309)",ABCD
22,"[33459, 46069]","(56793, 56793)",ABCD
23,[51914],"(71531, 71531)",ABCD
24,"[35800, 42345, 58045, 88224]","(68274, 68274)",ABCD
25,[83559],"(77985, 77985)",ABCD
26,"[35845, 45486, 86230]","(55763, 55763)",ABCD
27,[63069],"(61093, 61093)",ABCD
28,[99144],"(74764, 74764)",ABCD
29,"[29469, 58145, 83423, 97361]","(52351, 52351)",ABCD
30,"[60052, 74855, 97763]","(59616, 59616)",ABCD
31,"[41775, 52293, 77801, 94455]","(64773, 64773)",ABCD
32,"[42215, 43936, 77592]","(59847, 59847)",ABCD
33,"[33247, 46800, 57314, 60401, 72017, 88524]","(65761, 65761)",ABCD
34,"[33159, 48957, 69187]","(56589, 56589)",ABCD
35,[31166],"(75847, 75847)",ABCD
36,"[28885, 44748, 79190]","(61873, 61873)",ABCD
37,"[35111, 83795]","(56040, 56040)",ABCD
38,"[69528, 93568]","(67826, 67826)",ABCD
39,"[39984, 53786, 59537]","(58708, 58708)",ABCD
40,"[38767, 58531]","(56032, 56032)",ABCD
41,"[39946, 56724, 63070]","(57373, 57373)",ABCD
42,[43623],"(62549, 62549)",ABCD
43,"[36047, 45065, 51552, 67235]","(52283, 52283)",ABCD
44,"[52995, 59758]","(52863, 52863)",ABCD
45,"[32234, 42862, 48023, 75215, 95108]","(77521, 77521)",ABCD
46,[38012],"(55671, 55671)",ABCD
47,"[29095, 46009, 62896]","(56315, 56315)",ABCD
48,"[68607, 77392, 80789]","(74424, 74424)",ABCD
49,"[58226, 67219]","(55025, 55025)",ABCD
50,[],"(58795, 58795)",ABCDx
51,[],"(72076, 72076)",ABCDx
52,[],"(59566, 59566)",ABCDx
53,[],"(70511, 70511)",ABCDx
54,[],"(73330, 73330)",ABCDx
55,[],"(67559, 67559)",ABCDx
56,[77024],"(63440, 63440)",ABCDx
57,[61796],"(51580, 51580)",ABCDx
58,[],"(51571, 51571)",ABCDx
59,[92845],"(77032, 77032)",ABCDx
60,[],"(63568, 63568)",ABCDx
61,[],"(62248, 62248)",ABCDx
62,[],"(52171, 52171)",ABCDx
63,[],"(76787, 76787)",ABCDx
64,[],"(79417, 79417)",ABCDx
65,[],"(68917, 68917)",ABCDx
66,[],"(71650, 71650)",ABCDx
67,[],"(76549, 76549)",ABCDx
68,[],"(60751, 60751)",ABCDx
69,[],"(62170, 62170)",ABCDx
70,[96094],"(77576, 77576)",ABCDx
71,[],"(62309, 62309)",ABCDx
72,[67796],"(56793, 56793)",ABCDx
73,[],"(71531, 71531)",ABCDx
74,[78760],"(68274, 68274)",ABCDx
75,[],"(77985, 77985)",ABCDx
76,[],"(55763, 55763)",ABCDx
77,[],"(61093, 61093)",ABCDx
78,[],"(74764, 74764)",ABCDx
79,[],"(52351, 52351)",ABCDx
80,[],"(59616, 59616)",ABCDx
81,[],"(64773, 64773)",ABCDx
82,[],"(59847, 59847)",ABCDx
83,[],"(65761, 65761)",ABCDx
84,[],"(56589, 56589)",ABCDx
85,[],"(75847, 75847)",ABCDx
86,[],"(61873, 61873)",ABCDx
87,[70647],"(56040, 56040)",ABCDx
88,[80279],"(67826, 67826)",ABCDx
89,[],"(58708, 58708)",ABCDx
90,[],"(56032, 56032)",ABCDx
91,[],"(57373, 57373)",ABCDx
92,[],"(62549, 62549)",ABCDx
93,[],"(52283, 52283)",ABCDx
94,[],"(52863, 52863)",ABCDx
95,[],"(77521, 77521)",ABCDx
96,[],"(55671, 55671)",ABCDx
97,[],"(56315, 56315)",ABCDx
98,[90462],"(74424, 74424)",ABCDx
99,[],"(55025, 55025)",ABCDx
100,"[50888, 50952, 51144, 66497, 66529, 66561, 66881, 67009, 72340, 83082, 83116, 85201, 85233, 88701]","(58795, 58795)",ADWIN
