,preds,true,detector_name
0,[29463],"(29109, 29109)",ABCD
1,[31085],"(30688, 30688)",ABCD
2,[34859],"(34330, 34330)",ABCD
3,[31131],"(30648, 30648)",ABCD
4,[35564],"(35069, 35069)",ABCD
5,[37762],"(37119, 37119)",ABCD
6,[28517],"(28001, 28001)",ABCD
7,[40472],"(39816, 39816)",ABCD
8,[33649],"(33169, 33169)",ABCD
9,[27738],"(27441, 27441)",ABCD
10,[30018],"(29611, 29611)",ABCD
11,[32904],"(32413, 32413)",ABCD
12,[36004],"(35494, 35494)",ABCD
13,[32770],"(32323, 32323)",ABCD
14,[34243],"(33701, 33701)",ABCD
15,[27867],"(27442, 27442)",ABCD
16,[31207],"(30723, 30723)",ABCD
17,[31449],"(30235, 30235)",ABCD
18,[30812],"(30406, 30406)",ABCD
19,[34296],"(33819, 33819)",ABCD
20,[29783],"(29347, 29347)",ABCD
21,[27994],"(27628, 27628)",ABCD
22,[35584],"(35088, 35088)",ABCD
23,[39894],"(39319, 39319)",ABCD
24,[38019],"(36972, 36972)",ABCD
25,[38937],"(38300, 38300)",ABCD
26,[40227],"(39668, 39668)",ABCD
27,[37384],"(36334, 36334)",ABCD
28,[30393],"(29979, 29979)",ABCD
29,[41707],"(40272, 40272)",ABCD
30,[28034],"(27694, 27694)",ABCD
31,[36490],"(35859, 35859)",ABCD
32,[31071],"(30621, 30621)",ABCD
33,[41014],"(40276, 40276)",ABCD
34,[34784],"(34221, 34221)",ABCD
35,[33187],"(32737, 32737)",ABCD
36,[29726],"(29220, 29220)",ABCD
37,[44238],"(38813, 38813)",ABCD
38,[40517],"(39828, 39828)",ABCD
39,[30714],"(30332, 30332)",ABCD
40,[38669],"(38043, 38043)",ABCD
41,[28862],"(28050, 28050)",ABCD
42,[39045],"(38445, 38445)",ABCD
43,[34284],"(33835, 33835)",ABCD
44,[29521],"(28855, 28855)",ABCD
45,[28179],"(27795, 27795)",ABCD
46,[38354],"(37392, 37392)",ABCD
47,[30226],"(29702, 29702)",ABCD
48,[29909],"(29425, 29425)",ABCD
49,[38349],"(37762, 37762)",ABCD
50,[31610],"(29109, 29109)",ABCDx
51,[],"(30688, 30688)",ABCDx
52,[],"(34330, 34330)",ABCDx
53,[],"(30648, 30648)",ABCDx
54,[],"(35069, 35069)",ABCDx
55,[40534],"(37119, 37119)",ABCDx
56,[],"(28001, 28001)",ABCDx
57,[44028],"(39816, 39816)",ABCDx
58,[],"(33169, 33169)",ABCDx
59,[],"(27441, 27441)",ABCDx
60,[],"(29611, 29611)",ABCDx
61,[37462],"(32413, 32413)",ABCDx
62,[],"(35494, 35494)",ABCDx
63,[],"(32323, 32323)",ABCDx
64,[],"(33701, 33701)",ABCDx
65,[],"(27442, 27442)",ABCDx
66,[],"(30723, 30723)",ABCDx
67,[],"(30235, 30235)",ABCDx
68,[32421],"(30406, 30406)",ABCDx
69,[],"(33819, 33819)",ABCDx
70,[34688],"(29347, 29347)",ABCDx
71,[],"(27628, 27628)",ABCDx
72,[37905],"(35088, 35088)",ABCDx
73,[],"(39319, 39319)",ABCDx
74,[41023],"(36972, 36972)",ABCDx
