,preds,true,detector_name
0,[27378],"(23137, 23137)",ABCD
1,[],"(32540, 32540)",ABCD
2,[38695],"(32859, 32859)",ABCD
3,[42045],"(35338, 35338)",ABCD
4,[],"(32993, 32993)",ABCD
5,[],"(30748, 30748)",ABCD
6,[],"(26739, 26739)",ABCD
7,[26821],"(22892, 22892)",ABCD
8,[38389],"(34242, 34242)",ABCD
9,[28257],"(24539, 24539)",ABCD
10,[38774],"(33103, 33103)",ABCD
11,[],"(33440, 33440)",ABCD
12,[37487],"(31020, 31020)",ABCD
13,[],"(30183, 30183)",ABCD
14,[],"(26616, 26616)",ABCD
15,[29642],"(25811, 25811)",ABCD
16,[],"(30723, 30723)",ABCD
17,[32869],"(27915, 27915)",ABCD
18,[27899],"(23238, 23238)",ABCD
19,[40513],"(35575, 35575)",ABCD
20,[39404],"(35680, 35680)",ABCD
21,[30793],"(25444, 25444)",ABCD
22,[],"(33171, 33171)",ABCD
23,[28174],"(23730, 23730)",ABCD
24,[42493],"(23736, 23736)",ABCD
25,[],"(35248, 35248)",ABCD
26,[],"(33939, 33939)",ABCD
27,[42045],"(34897, 34897)",ABCD
28,[26896],"(23381, 23381)",ABCD
29,[],"(28926, 28926)",ABCD
30,[32231],"(28231, 28231)",ABCD
31,[36284],"(31736, 31736)",ABCD
32,[37494],"(24398, 24398)",ABCD
33,[44301],"(23722, 23722)",ABCD
34,[40478],"(34525, 34525)",ABCD
35,[36285],"(31013, 31013)",ABCD
36,[33204],"(28213, 28213)",ABCD
37,[37010],"(22788, 22788)",ABCD
38,[29262],"(24958, 24958)",ABCD
39,[],"(24989, 24989)",ABCD
40,[42319],"(23585, 23585)",ABCD
41,[40197],"(25217, 25217)",ABCD
42,[34196],"(29586, 29586)",ABCD
43,[28944],"(24492, 24492)",ABCD
44,[],"(31134, 31134)",ABCD
45,[37428],"(34283, 34283)",ABCD
46,[],"(34925, 34925)",ABCD
47,[40083],"(23891, 23891)",ABCD
48,[27477],"(23329, 23329)",ABCD
49,[],"(30834, 30834)",ABCD
50,[],"(23137, 23137)",ABCDx
51,[],"(32540, 32540)",ABCDx
52,[],"(32859, 32859)",ABCDx
53,[],"(35338, 35338)",ABCDx
54,[],"(32993, 32993)",ABCDx
55,[],"(30748, 30748)",ABCDx
56,[],"(26739, 26739)",ABCDx
57,[],"(22892, 22892)",ABCDx
58,[],"(34242, 34242)",ABCDx
59,[],"(24539, 24539)",ABCDx
60,[],"(33103, 33103)",ABCDx
61,[],"(33440, 33440)",ABCDx
62,[],"(31020, 31020)",ABCDx
63,[],"(30183, 30183)",ABCDx
64,[],"(26616, 26616)",ABCDx
65,[],"(25811, 25811)",ABCDx
66,[],"(30723, 30723)",ABCDx
67,[],"(27915, 27915)",ABCDx
68,[],"(23238, 23238)",ABCDx
69,[],"(35575, 35575)",ABCDx
70,[],"(35680, 35680)",ABCDx
71,[],"(25444, 25444)",ABCDx
72,[],"(33171, 33171)",ABCDx
73,[],"(23730, 23730)",ABCDx
74,[],"(23736, 23736)",ABCDx
75,[],"(35248, 35248)",ABCDx
76,[],"(33939, 33939)",ABCDx
77,[],"(34897, 34897)",ABCDx
78,[],"(23381, 23381)",ABCDx
79,[],"(28926, 28926)",ABCDx
80,[],"(28231, 28231)",ABCDx
81,[],"(31736, 31736)",ABCDx
82,[],"(24398, 24398)",ABCDx
83,[],"(23722, 23722)",ABCDx
84,[],"(34525, 34525)",ABCDx
85,[],"(31013, 31013)",ABCDx
86,[],"(28213, 28213)",ABCDx
87,[],"(22788, 22788)",ABCDx
88,[],"(24958, 24958)",ABCDx
89,[],"(24989, 24989)",ABCDx
90,[],"(23585, 23585)",ABCDx
91,[],"(25217, 25217)",ABCDx
92,[],"(29586, 29586)",ABCDx
93,[],"(24492, 24492)",ABCDx
94,[],"(31134, 31134)",ABCDx
95,[],"(34283, 34283)",ABCDx
96,[],"(34925, 34925)",ABCDx
97,[],"(23891, 23891)",ABCDx
98,[],"(23329, 23329)",ABCDx
99,[],"(30834, 30834)",ABCDx
100,"[25853, 25899, 25938, 26686, 27268, 36143]","(23137, 23137)",ADWIN
101,[],"(32540, 32540)",ADWIN
102,"[36351, 36392, 36480, 36562, 36899, 36947, 37033]","(32859, 32859)",ADWIN
103,"[39360, 39404, 39451, 39500, 39545, 39673, 40436]","(35338, 35338)",ADWIN
104,"[44501, 44788]","(32993, 32993)",ADWIN
105,"[12000, 44754]","(30748, 30748)",ADWIN
106,[],"(26739, 26739)",ADWIN
107,"[25096, 25241, 25479, 25526, 25714, 25760, 27782]","(22892, 22892)",ADWIN
108,"[36867, 37048, 37143, 37319, 37361, 37986, 38126, 38420, 38787, 39306, 39807, 42573]","(34242, 34242)",ADWIN
109,"[27157, 27351, 27541, 27585, 27948, 28520, 28617, 31760]","(24539, 24539)",ADWIN
110,"[36710, 36860, 36905, 37977, 38370, 38419, 38805, 38856, 39248, 41060]","(33103, 33103)",ADWIN
111,[],"(33440, 33440)",ADWIN
112,"[34477, 35247, 35916, 36063, 36168, 37299, 37539, 38902, 41794, 43655]","(31020, 31020)",ADWIN
113,"[40066, 42659]","(30183, 30183)",ADWIN
114,"[40222, 42019, 42303]","(26616, 26616)",ADWIN
115,"[28143, 28189, 28394, 28486, 28715, 28898, 28943, 30044]","(25811, 25811)",ADWIN
116,[44022],"(30723, 30723)",ADWIN
117,"[30648, 30786, 30836, 31033, 31121, 32141, 33638]","(27915, 27915)",ADWIN
118,"[26740, 26794, 26890, 27084, 27216, 27395, 27568, 27710, 27928, 29559]","(23238, 23238)",ADWIN
119,"[38227, 38315, 38576, 38619, 38766, 39283, 39823, 42524]","(35575, 35575)",ADWIN
120,"[38133, 38238, 38287, 38450, 38548, 39366, 39920, 40048, 40771, 41367, 41531]","(35680, 35680)",ADWIN
121,"[28540, 28591, 28876, 28936, 28982, 29558, 32760]","(25444, 25444)",ADWIN
122,"[44247, 44889, 44991]","(33171, 33171)",ADWIN
123,"[26687, 27277, 27327, 27472, 27680, 27722, 27997, 28179, 28225, 32670]","(23730, 23730)",ADWIN
124,"[37952, 38923, 41449]","(23736, 23736)",ADWIN
125,[],"(35248, 35248)",ADWIN
126,[40847],"(33939, 33939)",ADWIN
127,"[39268, 39401, 39654, 39702, 39750, 40113, 40261, 42393, 43640, 44741, 45128]","(34897, 34897)",ADWIN
128,"[26084, 26128, 26175, 26221, 26315, 26502, 26648, 27847, 34540]","(23381, 23381)",ADWIN
129,[45059],"(28926, 28926)",ADWIN
130,"[30485, 30530, 30575, 30619, 30713, 30960, 31605, 39926, 43527, 43574]","(28231, 28231)",ADWIN
131,"[34259, 34307, 34357, 34779, 34822, 35153, 35392, 36154, 38146]","(31736, 31736)",ADWIN
132,"[33851, 35012, 35437, 36451]","(24398, 24398)",ADWIN
133,"[39558, 39621, 39668, 40702]","(23722, 23722)",ADWIN
134,"[37232, 37274, 37321, 37404, 37445, 37488, 37538, 37867, 42148, 43930]","(34525, 34525)",ADWIN
135,"[34110, 34151, 34671, 34715, 34850, 34985, 35117, 36081, 36379, 36518, 43249]","(31013, 31013)",ADWIN
136,"[31538, 31594, 31640, 31884, 32505, 38003]","(28213, 28213)",ADWIN
137,"[33096, 33149, 33201, 33646, 34514, 40281]","(22788, 22788)",ADWIN
138,"[28132, 28175, 28402, 28449, 28640, 28822, 28864, 28907, 29374, 30409, 40539]","(24958, 24958)",ADWIN
139,"[42087, 42740]","(24989, 24989)",ADWIN
140,"[37691, 40248, 40353, 40702, 44116, 44378, 44940]","(23585, 23585)",ADWIN
141,"[35747, 36369, 37082, 37229, 37973, 38144, 38562]","(25217, 25217)",ADWIN
142,"[32595, 32642, 33213, 33305, 33446, 33491, 33534, 33578, 34230, 35856]","(29586, 29586)",ADWIN
143,"[27487, 27573, 27612, 27698, 27751, 28038, 28432, 34421]","(24492, 24492)",ADWIN
144,[],"(31134, 31134)",ADWIN
145,"[36372, 36458, 36592, 36640, 36728, 36770, 36891, 36989, 37143, 37370, 37519, 37688, 38229, 44427]","(34283, 34283)",ADWIN
146,[],"(34925, 34925)",ADWIN
147,"[35284, 35360, 35412, 35625, 36296]","(23891, 23891)",ADWIN
148,"[26313, 26358, 26711, 26847, 27798, 27848, 27939, 27994, 28362, 28873, 29154, 36601]","(23329, 23329)",ADWIN
149,"[39548, 42535]","(30834, 30834)",ADWIN
150,"[25928, 38931]","(23137, 23137)",CUSUM
151,[17740],"(32540, 32540)",CUSUM
152,[36305],"(32859, 32859)",CUSUM
153,"[31733, 39370]","(35338, 35338)",CUSUM
154,[],"(32993, 32993)",CUSUM
155,"[29861, 44637]","(30748, 30748)",CUSUM
156,[43613],"(26739, 26739)",CUSUM
157,"[20715, 26005]","(22892, 22892)",CUSUM
158,"[34054, 39312]","(34242, 34242)",CUSUM
159,[27145],"(24539, 24539)",CUSUM
160,[36533],"(33103, 33103)",CUSUM
161,[],"(33440, 33440)",CUSUM
162,"[34198, 42105]","(31020, 31020)",CUSUM
163,[],"(30183, 30183)",CUSUM
164,[40216],"(26616, 26616)",CUSUM
