,trues,preds,max_delay
ABCD,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10207, 13905, 20738, 25158, 31105, 34893, 38289, 40187, 46674, 50775, 64128, 69365, 70206, 78041, 80863, 86169, 92054, 104825, 110558, 122173, 142267, 149803, 162274, 171054, 180309, 190874, 200958, 210729, 220862, 232359, 249095, 250512, 262363, 282454]",1000
ABCDx,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]",[],1000
ADWIN,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[12840, 14248, 16328, 24808, 25032, 25704, 25992, 26376, 26696, 27560, 28488, 34504, 34536, 34600, 34888, 35656, 37416, 37768, 37864, 38088, 38216, 38504, 39176, 45416, 45480, 47080, 48552, 63112, 63336, 63784, 63816, 63912, 64136, 64360, 64808, 65064, 65384, 65832, 66184, 66856, 67976, 68840, 69928, 77576, 78024, 78664, 79592, 85960, 86184, 86216, 86408, 88136, 89608, 89992, 97896, 99592, 102856, 104712, 105800, 105992, 106024, 107624, 116584, 117128, 139560, 140328, 141096, 141928, 142440, 143848, 144424, 145160, 145608, 146024, 146632, 148008, 148872, 170344, 170376, 170408, 170440, 171304, 190216, 190248, 190280, 190344, 190664, 210248, 210440, 210568, 210600, 210856, 211048, 212552, 213160, 230920, 231080, 231176, 231368, 231656, 231848, 240712, 243432, 249096, 262024, 264200, 268872, 280456, 280520, 280584, 280680]",1000
CUSUM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[38297, 64923, 69740, 78018, 87474, 99686, 105166, 145556, 171099, 192256, 213639, 234530, 243078, 281140]",1000
DDM,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[1364, 3214, 3578, 5724, 5982, 6463, 6712, 7855, 9630, 9941, 10815, 10927, 11101, 11196, 11326, 11520, 11794, 11981, 12085, 12289, 12375, 12536, 12733, 13466, 13554, 13970, 14108, 14180, 14347, 14641, 14753, 15029, 15985, 16110, 16313, 16413, 16661, 16726, 16832, 16898, 17018, 17217, 17413, 17895, 18099, 18198, 18367, 18424, 18537, 18617, 18683, 18769, 18862, 19634, 19713, 22724, 22823, 23167, 24727, 25023, 25169, 25386, 25489, 26130, 26233, 26363, 26449, 26542, 26694, 27521, 27705, 28245, 28349, 28424, 28646, 28947, 29730, 29793, 29860, 32121, 32198, 32397, 32727, 32793, 33093, 33289, 33519, 33641, 33889, 34141, 34508, 34603, 34677, 34746, 34871, 35048, 35429, 35585, 36277, 36367, 36431, 36496, 36578, 36798, 36889, 37090, 37187, 37281, 37341, 37595, 37752, 37846, 38128, 38206, 38301, 38413, 38481, 38580, 38696, 38826, 47290, 47359, 47435, 47851, 48043, 48220, 48333, 48434, 48495, 49695, 49773, 49838, 49926, 51171, 51272, 51380, 52575, 52790, 52868, 53254, 53402, 53472, 53592, 53667, 53927, 54721, 54794, 54959, 55017, 55084, 55164, 55253, 55328, 55539, 55812, 55967, 56113, 56273, 56345, 56534, 56648, 56812, 57215, 57280, 57388, 57488, 57677, 57739, 57852, 57948, 61771, 61899, 62077, 62341, 62438, 62587, 62724, 63075, 63371, 63522, 63578, 63681, 63816, 63888, 64139, 64241, 64322, 64403, 64494, 64782, 64892, 65041, 67085, 67233, 67331, 67621, 67729, 67859, 68616, 68811, 69045, 69150, 69257, 69700, 69823, 69945, 74612, 74679, 74744, 74805, 74963, 75034, 75132, 75259, 77258, 77458, 77738, 78006, 78350, 78435, 78495, 78659, 78752, 79427, 79513, 79853, 79995, 80134, 80286, 80552, 80738, 80809, 80926, 81082, 81160, 81298, 81379, 81509, 81705, 81895, 81998, 82070, 82278, 82342, 82429, 82497, 82784, 82847, 82938, 83053, 83872, 84035, 84117, 84390, 85161, 85482, 85558, 85647, 85708, 88140, 88319, 88394, 89731, 89945, 90639, 90751, 90814, 91047, 91165, 91387, 91461, 91519, 92034, 92315, 92486, 92554, 92800, 92878, 92947, 93052, 93441, 94680, 94757, 95060, 95166, 96909, 97308, 97654, 97811, 98038, 98130, 99044, 99225, 99470, 100943, 101092, 101152, 101404, 101488, 103950, 104034, 104114, 104437, 104823, 105033, 105161, 105325, 105512, 105640, 105709, 108564, 108632, 108844, 108930, 109484, 109557, 109735, 113819, 113882, 113972, 114236, 114318, 114437, 114541, 114634, 114740, 114865, 114926, 115270, 117902, 118162, 118284, 118342, 118432, 119405, 119519, 119704, 119833, 123488, 123560, 123692, 123779, 124003, 124093, 124167, 124279, 124340, 126297, 127701, 127769, 127945, 128245, 128434, 128494, 128556, 128640, 128748, 128866, 130088, 130198, 130364, 130479, 130958, 131039, 131650, 132176, 132247, 132390, 132498, 133015, 133135, 133427, 133503, 133590, 133778, 134478, 134536, 134963, 135129, 135200, 135277, 135412, 135500, 135578, 135692, 135777, 136027, 136201, 136295, 136480, 136645, 136761, 136829, 137006, 137158, 137860, 137945, 138247, 138325, 138436, 138509, 138616, 140989, 141088, 141157, 141521, 141812, 141922, 141995, 142228, 142425, 142484, 142681, 142765, 143104, 143230, 143308, 143736, 143823, 143891, 144042, 144125, 144190, 144395, 145645, 145708, 148319, 148631, 148736, 149390, 153874, 154025, 154181, 154269, 154349, 154469, 154541, 154654, 154739, 154802, 154960, 155148, 155259, 156912, 156989, 157284, 159001, 159129, 159331, 159418, 159488, 159562, 159857, 159944, 160046, 160208, 160493, 160878, 161041, 162853, 162929, 163162, 163237, 163420, 163506, 164682, 164752, 164927, 164991, 165126, 165694, 165778, 165898, 165985, 166048, 166117, 166193, 166295, 167654, 167712, 167860, 168381, 168440, 168508, 168709, 168775, 169288, 169483, 169917, 170029, 170496, 170626, 172622, 172697, 172881, 172943, 173033, 173235, 173417, 173543, 174739, 174959, 177505, 177858, 178968, 179186, 179334, 179411, 179854, 179945, 180759, 181137, 181241, 181328, 181435, 181543, 182185, 182286, 182555, 182666, 182845, 182952, 183034, 183461, 183729, 183822, 183899, 184102, 184296, 184392, 184523, 184793, 185285, 185431, 185530, 185675, 186045, 186122, 186253, 186313, 186394, 186461, 186909, 186975, 187035, 187108, 187451, 188595, 188761, 188833, 188903, 188981, 189834, 189937, 190022, 190147, 190282, 190442, 190512, 190624, 191017, 191333, 191414, 191985, 192295, 192519, 192902, 193587, 195287, 195777, 197334, 210422, 210881, 210958, 211047, 211197, 211289, 211665, 211834, 211908, 211986, 212121, 212257, 212491, 213423, 214701, 214940, 215135, 215224, 215305, 215509, 215576, 216024, 216251, 216315, 216702, 216845, 217109, 217332, 217391, 217741, 217864, 218382, 218447, 218508, 219092, 219166, 219491, 219651, 219821, 219918, 219999, 220187, 220433, 220622, 221152, 221234, 221363, 221425, 221546, 221839, 222031, 222144, 222635, 223201, 223446, 224875, 225281, 225710, 226062, 226121, 226257, 226394, 226456, 226898, 226979, 227092, 227488, 227579, 228601, 228762, 228827, 228945, 229834, 229926, 230006, 230110, 230202, 230309, 230385, 230630, 230903, 231053, 231352, 231661, 235850, 235932, 236247, 236355, 236554, 236811, 236884, 237081, 237150, 237232, 238047, 238248, 238494, 238583, 238659, 239784, 239867, 239978, 240051, 240205, 240398, 240470, 240879, 241056, 241197, 241661, 243238, 243299, 243419, 244644, 244755, 244928, 244997, 245123, 245223, 245289, 245504, 245587, 245910, 245984, 246232, 246294, 246702, 246839, 247011, 247079, 247155, 248696, 248770, 249070, 249187, 249320, 249415, 257101, 257164, 257524, 257756, 257978, 258572, 259045, 259103, 259252, 259328, 259546, 259663, 260049, 260122, 260192, 260276, 260557, 260737, 260810, 260897, 261576, 261712, 262017, 262351, 262495, 262617, 262680, 262875, 263092, 263951, 264036, 264113, 265952, 266026, 266150, 266212, 266271, 266926, 280278, 280497, 280654, 281459, 281984, 282524, 282951, 283478, 283602, 283775, 283855, 284209, 284271, 284739, 284858, 284917, 285032, 285092, 285152, 285223, 285679, 285826, 285898, 285964, 286050, 286120, 286553, 286616, 286696, 286874, 287201, 287324, 287447, 287538, 287810, 287906, 288039, 288105, 288354, 288425, 288548, 288621, 288693, 288770, 288875, 288940, 289001, 289143, 289412, 290239, 290329, 290386, 290472, 290581, 290643, 290719, 290777, 290837, 292844, 292928, 293014, 293145, 293423, 293663, 293829, 293902, 294034, 294735, 294997, 295125, 295201, 295268, 295700, 295778, 295897, 295988, 296049, 296124, 296198, 299340, 299408, 299476, 299666, 299918, 299996]",1000
EWMAChart,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]",[],1000
GeometricMovingAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[2999, 4998, 6997, 8996, 11013, 13015, 15015, 17015, 19014, 21013, 23014, 25013, 27013, 29024, 31028, 33033, 35034, 37037, 39038, 41039, 43038, 45037, 47038, 49037, 51038, 53037, 55047, 57047, 59054, 61055, 63061, 65060, 67059, 69060, 71059, 73058, 75059, 77058, 79061, 81067, 83066, 85065, 87065, 89065, 91064, 93063, 95062, 97061, 99060, 101059, 103060, 105059, 107065, 109066, 111077, 113077, 115082, 117081, 119080, 121083, 123083, 125084, 127094, 129102, 131101, 133103, 135105, 137104, 139104, 141108, 143107, 145108, 147107, 149107, 151106, 153105, 155104, 157103, 159113, 161112, 163112, 165111, 167115, 169118, 171117, 173116, 175115, 177116, 179115, 181114, 183113, 185119, 187120, 189119, 191118, 193117, 195116, 197115, 199115, 201119, 203122, 205122, 207124, 209125, 211125, 213125, 215124, 217123, 219124, 221127, 223127, 225126, 227125, 229125, 231126, 233129, 235134, 237133, 239132, 241137, 243136, 245135, 247135, 249134, 251134, 253137, 255137, 257141, 259140, 261139, 263138, 265138, 267137, 269136, 271135, 273136, 275135, 277137, 279136, 281136, 283136, 285137, 287137, 289138, 291137, 293136, 295135, 297134, 299134]",1000
HDDMAverage,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10921, 22884, 26071, 29924, 33499, 34578, 40458, 40746, 42873, 53973, 62352, 63072, 65049, 69986, 72332, 72860, 77287, 82429, 84161, 84402, 91390, 98037, 102268, 109768, 114463, 127681, 128245, 130073, 136253, 136292, 144161, 144442, 163638, 164757, 164925, 166261, 166288, 170103, 180686, 181019, 184913, 190417, 205662, 211048, 213463, 220197, 226464, 226929, 230618, 238268, 250218, 250311, 250455, 253356, 258569, 263104, 270623, 274103, 276294, 280692, 281981, 288450, 290239]",1000
HDDMWeighted,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[10795, 11365, 11789, 12091, 12295, 12549, 12733, 13373, 13962, 14623, 15031, 15748, 16868, 18551, 18919, 19397, 19606, 20523, 21344, 21995, 22173, 22635, 23147, 23575, 23842, 24169, 24571, 24736, 25022, 25385, 25517, 25941, 26746, 26851, 27477, 27708, 28364, 28952, 29080, 29565, 29732, 30315, 30980, 31046, 31360, 31809, 32115, 32726, 33103, 33895, 34149, 34501, 35049, 35431, 36015, 36283, 36488, 36801, 37346, 40451, 40952, 41627, 42385, 42517, 42843, 43164, 43607, 43790, 44443, 44946, 45437, 46353, 46872, 47104, 47487, 47730, 48220, 49168, 49328, 49836, 50291, 50991, 51299, 51404, 51813, 52205, 52498, 52911, 53254, 53929, 54635, 55255, 55541, 55802, 56131, 56280, 56875, 57151, 57390, 57681, 57973, 58937, 59475, 59910, 60726, 60908, 61511, 62080, 62353, 63078, 63628, 64141, 64786, 65044, 65333, 65774, 66288, 66495, 66908, 68582, 69748, 70144, 70240, 70666, 70762, 71631, 72193, 72292, 72522, 72731, 72859, 73326, 73434, 73606, 73777, 73885, 75320, 75819, 76567, 76886, 77017, 77460, 77738, 78437, 79319, 79834, 80287, 81512, 81706, 81896, 82069, 82430, 82778, 83070, 83871, 84386, 85154, 85489, 85766, 86288, 86907, 87078, 87387, 88141, 88321, 88422, 88847, 89088, 89344, 89576, 90310, 90640, 90754, 90840, 91047, 91979, 92555, 92960, 93430, 93965, 94527, 95455, 95987, 96254, 96328, 96935, 97840, 98613, 98929, 99553, 100295, 100659, 101167, 101523, 101904, 103072, 103518, 104515, 105513, 107438, 108319, 108845, 109738, 110463, 110763, 111293, 112315, 112730, 113168, 113427, 113778, 114444, 114556, 114680, 115269, 115680, 115817, 116535, 117009, 117106, 117766, 118430, 119324, 119569, 119756, 119853, 120190, 120833, 121465, 121883, 122482, 122854, 123818, 124190, 125061, 126274, 126514, 126687, 127250, 127381, 127983, 128244, 128866, 129556, 129918, 130063, 130223, 130364, 131055, 132037, 132507, 132925, 133156, 133427, 133594, 133778, 134266, 134449, 134750, 134945, 135282, 135423, 136026, 136235, 136313, 136647, 137006, 138244, 138632, 139851, 140300, 140541, 140740, 141513, 142194, 142425, 142530, 143102, 143700, 144127, 144403, 144898, 145161, 145724, 146282, 147075, 147350, 147592, 147918, 149278, 150385, 151566, 152029, 152297, 152939, 153236, 153496, 154345, 154679, 155032, 155272, 156555, 158438, 158654, 159398, 159570, 160049, 160215, 160474, 161054, 161474, 162493, 163267, 163427, 163794, 164547, 164928, 165135, 165693, 165910, 166201, 166309, 166650, 166836, 167333, 167653, 168369, 168922, 169482, 169867, 170100, 172016, 173953, 174358, 174661, 175823, 176905, 178969, 179425, 179849, 180204, 180325, 180686, 181021, 181452, 181559, 182146, 182575, 183445, 183717, 183838, 184300, 184793, 185281, 185697, 186044, 186493, 186862, 187490, 188562, 188836, 189000, 189728, 190021, 191970, 192299, 192947, 193541, 194221, 194642, 195127, 195825, 196417, 196900, 197203, 198100, 199167, 200220, 200626, 201334, 201592, 202572, 202883, 203191, 203430, 204566, 204985, 205388, 205540, 205945, 206545, 207372, 207970, 208465, 209216, 209729, 210209, 210383, 210880, 211052, 211667, 212135, 212506, 213171, 213798, 214114, 214458, 214550, 214939, 215127, 215611, 216000, 216653, 217109, 218244, 219076, 219320, 219497, 219852, 220196, 220335, 221020, 221454, 221562, 222147, 222574, 222845, 223445, 223719, 223894, 224795, 225283, 225694, 226045, 226862, 227110, 227496, 228051, 228564, 228835, 229368, 229835, 230009, 230140, 230616, 231365, 231708, 232610, 233162, 233468, 234987, 235406, 235541, 236246, 237658, 238267, 238464, 239238, 239723, 240208, 240385, 241992, 242131, 242510, 243172, 244619, 244939, 245137, 245425, 245504, 245679, 245803, 245907, 246232, 246841, 247139, 247943, 248370, 249076, 249315, 249921, 250240, 250299, 250455, 250750, 250905, 251350, 251514, 251625, 251769, 252194, 252391, 253325, 253676, 254044, 255060, 255428, 255519, 256087, 256374, 256592, 256720, 257063, 257524, 257759, 257999, 258581, 259019, 259261, 259524, 259732, 259986, 260470, 261438, 261997, 263095, 263344, 263598, 264436, 264796, 265060, 265514, 265838, 266072, 266908, 267265, 267586, 267895, 268471, 268995, 269546, 269965, 270195, 270363, 270637, 271244, 271839, 272171, 272558, 273460, 273733, 273900, 274099, 274367, 274877, 275578, 275701, 276045, 276257, 276667, 276780, 276868, 277491, 277671, 278762, 278957, 279580, 279728, 279948, 280244, 280707, 281466, 281966, 282502, 282953, 283379, 284180, 284637, 284965, 285632, 286205, 286556, 287201, 288106, 288352, 288786, 289167, 290218, 290407, 290880, 292131, 292503, 293170, 293426, 294071, 294536, 294997, 295127, 295280, 295654, 295902, 296132, 297550, 297687, 298370, 298708, 299076, 299285, 299495, 299921, 300007]",1000
PageHinkley,"[(10000, 10000), (20000, 20000), (30000, 30000), (40000, 40000), (50000, 50000), (60000, 60000), (70000, 70000), (80000, 80000), (90000, 90000), (100000, 100000), (110000, 110000), (120000, 120000), (130000, 130000), (140000, 140000), (150000, 150000), (160000, 160000), (170000, 170000), (180000, 180000), (190000, 190000), (200000, 200000), (210000, 210000), (220000, 220000), (230000, 230000), (240000, 240000), (250000, 250000), (260000, 260000), (270000, 270000), (280000, 280000), (290000, 290000), (300000, 300000)]","[37858, 64772, 69885, 77344, 88112, 99730, 145924, 170720, 192641, 213298, 237450, 280705]",1000
