,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,2.0,2.0,48.0,0.5,0.04,0.04,0.07407407407407407,208.0,0.01999980000199998,0.03999960000399996,50.0,4.0
DDM,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.00999990000099999,0.00999990000099999,50.0,1.0
CUSUM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMWeighted,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,1.0,2.0,48.0,0.6666666666666666,0.04,0.04,0.07547169811320754,22.0,0.00999990000099999,0.02999970000299997,50.0,3.0
SEED,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
STEPD,16.0,16.0,36.0,0.5,0.3076923076923077,0.28,0.380952380952381,-203.28571428571428,0.15999840001599985,0.3199968000319997,50.0,32.0
