,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,237.0,171.0,14.0,0.41911764705882354,0.9243243243243243,0.72,0.5767284991568297,-286.22222222222223,2.369976300236998,4.079959200407996,50.0,408.0
DDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,7.0,7.0,43.0,0.5,0.14,0.14,0.21875000000000003,-18.0,0.06999930000699993,0.13999860001399986,50.0,14.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,3.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.02999970000299997,0.02999970000299997,50.0,3.0
HDDMWeighted,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
PageHinkley,2.0,1.0,49.0,0.3333333333333333,0.02,0.02,0.03773584905660377,199.0,0.01999980000199998,0.02999970000299997,50.0,3.0
RDDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
SEED,2.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.01999980000199998,0.01999980000199998,50.0,2.0
STEPD,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
