,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,202.0,223.0,12.0,0.5247058823529411,0.948936170212766,0.76,0.6757575757575757,-241.31578947368422,1.7264809702481176,3.632447585918069,50.0,425.0
DDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,4.0,10.0,40.0,0.7142857142857143,0.2,0.2,0.3125,45.3,0.03418774198511124,0.11965709694788933,50.0,14.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,1.0,2.0,48.0,0.6666666666666666,0.04,0.04,0.07547169811320754,298.5,0.00854693549627781,0.025640806488833427,50.0,3.0
HDDMWeighted,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
PageHinkley,2.0,1.0,49.0,0.3333333333333333,0.02,0.02,0.03773584905660377,-94.0,0.01709387099255562,0.025640806488833427,50.0,3.0
RDDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
SEED,0.0,1.0,49.0,1.0,0.02,0.02,0.0392156862745098,366.0,0.0,0.00854693549627781,50.0,1.0
STEPD,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
