,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,57.0,53.0,7.0,0.4818181818181818,0.8833333333333333,0.86,0.6235294117647059,-2534.3023255813955,1.2579449152542372,2.427612994350283,50.0,110.0
ADWIN,111.0,38.0,19.0,0.2550335570469799,0.6666666666666666,0.62,0.3689320388349515,-2567.967741935484,2.4496822033898304,3.2883121468926553,50.0,149.0
CUSUM,68.0,32.0,18.0,0.32,0.64,0.64,0.4266666666666667,-2528.34375,1.5007062146892656,2.2069209039548023,50.0,100.0
DDM,190.0,43.0,16.0,0.18454935622317598,0.7288135593220338,0.68,0.2945205479452055,-2585.4411764705883,4.193149717514125,5.1421257062146895,50.0,233.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,74.0,49.0,26.0,0.3983739837398374,0.6533333333333333,0.48,0.494949494949495,-2480.5833333333335,1.6331214689265536,2.714512711864407,50.0,123.0
HDDMWeighted,268.0,99.0,5.0,0.26975476839237056,0.9519230769230769,0.9,0.4203821656050955,-2682.1111111111113,5.91454802259887,8.099399717514125,50.0,367.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,332.0,126.0,18.0,0.27510917030567683,0.875,0.64,0.4186046511627907,-3240.21875,7.326977401129944,10.107697740112995,50.0,458.0
SEED,1453.0,431.0,0.0,0.22876857749469215,1.0,1.0,0.372354211663067,-4109.16,32.06656073446327,41.57838983050848,50.0,1884.0
STEPD,2361.0,726.0,0.0,0.23517978620019436,1.0,1.0,0.3808025177025964,-4270.48,52.105402542372886,68.12764830508475,50.0,3087.0
STUDD,351.0,28.0,41.0,0.07387862796833773,0.4057971014492754,0.18,0.125,-2213.8888888888887,7.746292372881356,8.3642302259887,50.0,379.0
